area_code,year_start,year_end,polity_code,source_label,iso3,match_route,confidence,rows_observed
1,1992,2024,ARM-1991-2025,Armenia,ARM,iso-equal,high,96333
2,1961,2024,AFG-1919-2025,Afghanistan,AFG,iso-equal,high,122086
3,1961,2024,ALB-1913-2025,Albania,ALB,iso-equal,high,177572
4,1961,1961,DZA-1919-1962,Algeria,DZA,iso-equal,high,208548
4,1962,2024,DZA-1962-2025,Algeria,DZA,iso-equal,high,208548
5,1900,2025,ASM-1900-2025,American Samoa,ASM,registry,high,0
6,1850,2025,AND-1800-2025,Andorra,AND,registry,high,0
7,1961,1974,ANG-1905-1975,Angola,AGO,manual-route,high,171428
7,1975,2024,AGO-1975-2025,Angola,AGO,manual-route,high,171428
8,1961,2024,ATG-1800-2025,Antigua and Barbuda,ATG,iso-equal,high,152103
9,1961,2024,ARG-1902-2025,Argentina,ARG,iso-equal,high,242032
10,1961,2024,AUS-1901-2025,Australia,AUS,iso-equal,high,253557
11,1961,2024,AUT-1919-2025,Austria,AUT,iso-equal,high,255267
12,1961,2024,BHS-1800-2025,Bahamas,BHS,iso-equal,high,163402
13,1961,2024,BHR-1800-2025,Bahrain,BHR,iso-equal,high,77122
14,1961,2024,BRB-1800-2025,Barbados,BRB,iso-equal,high,198640
15,1961,1999,BLX-1850-1999,Belgium-Luxembourg,BLX,iso-equal,high,156557
16,1961,1970,BGD-1947-1971,Bangladesh,BGD,iso-equal,high,203548
16,1971,2024,BGD-1971-2025,Bangladesh,BGD,iso-equal,high,203548
17,1961,1967,BMU-1684-1968,Bermuda,BMU,iso-equal,high,67310
17,1968,2013,BMU-1968-2025,Bermuda,BMU,iso-equal,high,67310
18,1961,2024,BTN-1800-2025,Bhutan,BTN,iso-equal,high,46525
19,1961,2024,BOL-1938-2025,Bolivia (Plurinational State of),BOL,iso-equal,high,203360
20,1961,1965,BEC-1885-1966,Botswana,BWA,manual-route,high,211714
20,1966,2024,BWA-1966-2025,Botswana,BWA,manual-route,high,211714
21,1961,2024,BRA-1909-2025,Brazil,BRA,iso-equal,high,255068
23,1961,1969,BLZ-1886-1970,Belize,BLZ,iso-equal,high,177780
23,1970,1980,BLZ-1970-1981,Belize,BLZ,iso-equal,high,177780
23,1981,2024,BLZ-1981-2025,Belize,BLZ,iso-equal,high,177780
25,1961,2024,SLB-1800-2025,Solomon Islands,SLB,iso-equal,high,120550
26,1961,2024,BRN-1888-2025,Brunei Darussalam,BRN,iso-equal,high,161774
27,1961,2024,BGR-1940-2025,Bulgaria,BGR,iso-equal,high,241988
28,1961,2024,MMR-1885-2025,Myanmar,MMR,iso-equal,high,172477
29,1961,1961,BDI-1922-1962,Burundi,BDI,iso-equal,high,62205
29,1962,2024,BDI-1962-2025,Burundi,BDI,iso-equal,high,62205
32,1961,2024,CMR-1961-2025,Cameroon,CMR,iso-equal,high,216617
33,1961,2024,CAN-1949-2025,Canada,CAN,iso-equal,high,252243
35,1961,1974,CPV-1886-1975,Cabo Verde,CPV,iso-equal,high,150407
35,1975,2024,CPV-1975-2025,Cabo Verde,CPV,iso-equal,high,150407
37,1961,2024,CAF-1960-2025,Central African Republic,CAF,iso-equal,high,155872
38,1961,2024,LKA-1800-2025,Sri Lanka,LKA,iso-equal,high,229589
39,1961,2024,TCD-1960-2025,Chad,TCD,iso-equal,high,134061
40,1961,2024,CHL-1902-2025,Chile,CHL,iso-equal,high,230765
41,1961,2024,CHN-1950-2025,"China, mainland",CHN,iso-equal,high,269529
42,1946,1958,CXR-1946-1958,Christmas Island,CXR,registry,high,0
44,1961,2024,COL-1922-2025,Colombia,COL,iso-equal,high,235230
45,1961,1974,COM-1946-1975,Comoros,COM,iso-equal,high,52459
45,1975,2024,COM-1975-2025,Comoros,COM,iso-equal,high,52459
46,1961,2024,COG-1960-2025,Congo,COG,iso-equal,high,170222
